2016-04-04 11:08:31 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:37 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:37 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:37 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:42 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:43 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:43 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:48 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:49 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:49 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:53  WARN | secgroup sg-f63233e4: no instances
2016-04-04 11:08:53  INFO | gni populated in 5.50 ms.
2016-04-04 11:08:54 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:54 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:08:55 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:00 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:00 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:00 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:06 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:06 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:06 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:12 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:12 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:12 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:17 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:18 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:18 ERROR | failed to fork to check hypervisor connection
2016-04-04 11:09:23  WARN | secgroup sg-f63233e4: no instances
2016-04-04 11:09:23  INFO | gni populated in 6.18 ms.
2016-04-04 11:09:24  WARN | invocation 'blkid /var/lib/eucalyptus/instances/work/AIDAAWCTZPZHICHEHZDMM/i-783cd081/link-to-vda' failed with -1 (attempt 1)
2016-04-04 11:09:24  WARN | invocation 'blkid /var/lib/eucalyptus/instances/work/AIDAAWCTZPZHICHEHZDMM/i-783cd081/link-to-vda' failed with -1 (attempt 2)
